time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2023-10-18 03:50:29.412 UTC, ,125,3169677,1648,23600,224, ,5, , , , , , , , , , , ,5,5, , , ,2,1,7, , , , , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5626,227286831104,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5626, ,1697600908817, , , , ,3145728,5599, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,29360128,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:51:29.432 UTC, ,125,3169677,1648,23600,224, ,5, , , , , , , , , , , ,5,5, , , ,2,1,7, , , , , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5626,227285467136,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5626, ,1697600908817, , , , ,3145728,5599, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,29360128,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:52:29.449 UTC, ,125,3169677,1648,23600,224, ,5, , , , , , , , , , , ,5,5, , , ,2,1,7, , , , , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5626,227285417984,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5626, ,1697600908817, , , , ,3145728,5599, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,29360128,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:53:29.465 UTC, ,125,3169677,1648,23600,224, ,5, , , , , , , , , , , ,5,5, , , ,2,1,7, , , , , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5626,227285270528,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5626, ,1697600908817, , , , ,3145728,5599, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,29360128,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:54:29.477 UTC, ,125,3169677,1648,23600,224, ,5, , , , , , , , , , , ,5,5, , , ,2,1,7, , , , , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5626,227285176320,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5626, ,1697600908817, , , , ,3145728,5599, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,29360128,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:55:29.492 UTC, ,125,3169677,1648,23600,224, ,5, , , , , , , , , , , ,5,5, , , ,2,1,7, , , , , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5626,227285151744,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5626, ,1697600908817, , , , ,3145728,5599, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:56:29.508 UTC, ,125,3169677,1648,23600,224, ,5, , , , , , , , , , , ,5,5, , , ,2,1,7, , , , , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5626,227284660224,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5626, ,1697600908817, , , , ,3145728,5599, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:57:29.526 UTC, ,125,3169677,1648,23600,224, ,5, , , , , , , , , , , ,5,5, , , ,2,1,7, , , , , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5626,227284557824,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5626, ,1697600908817, , , , ,3145728,5599, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:58:29.542 UTC, ,125,3169677,1648,23600,224, ,5, , , , , , , , , , , ,5,5, , , ,2,1,7, , , , , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5626,227301179392,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5626, ,1697600908817, , , , ,3145728,5599, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,30408704,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-10-18 03:59:22.191 UTC, ,125,3169453,1648,23600, , ,5, , , , , , , , , , , ,5,5, , , ,2,1,7, , , , , , , , , , , , , , , , ,5161,3, ,4281, , , , ,5626,227299115008,30,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5626, ,1697600908817, , , , ,3145728,5599, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , ,1,41,13273088,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
